App Name,Package Name,App MD5,Category,Red Packet Num,App Market
包红,cn.baohong.app,463a6a371b154d942f5f2c8a1b56ebfd,comprehensive services,1,Tencent
返赞,cn.fangchan.fanzan,8552af6b5a1d0cf334e2df7a19cfcfe2,shopping payment,1,Tencent
走路赚点钱,cn.huiqing.walkday,55f0092d5567153fa64199f86088f00e,sports and fitness,4,Tencent
中青看点,cn.youth.news,8b8c1f408a872112bba5f3f26374bcf5,news,6,Tencent
好看视频极速版,com.baidu.hkvideo,315ec25373a2e056c6d4608bd62d97be,video,5,Tencent
百度极速版,com.baidu.searchbox.lite,30914d9548dd9814461358b2da2f2ea3,browser,6,Tencent
红包来了,com.bx.hbll,a4bfdc75d1827cfc60c42a9b2a300075,leisure puzzle,1,Tencent
惠头条,com.cashtoutiao,0f6791bd52cd98f57a4d21c6e3e5f55b,reading,2,Tencent
惠运动,com.cashwalk,dd996f090d1ee6c83026dded3884409c,sports and fitness,1,Tencent
趣红包短视频版,com.chenglie.qhbvideo,a7b7a354c1c02becd5aac70422c51e16,video,1,Tencent
辣椒短视频,com.chilliv.shortvideo,40677e00a02a88aba5e0f6332a569cf1,video,1,Tencent
悬赏帮极速版,com.chumeng.xsbjsb,c41154964c764977e042de9feec372b3,comprehensive services,1,Tencent
支付宝,com.eg.android.AlipayGphone,bd626562e5ce0318b5a9f96054824ce2,financial investment,2,Tencent
返现特价版,com.fanlitejiaban,a530bff9d27dd01bc97badcf964eefd6,shopping payment,1,Tencent
818红包,com.fanqian.android,c767b436ee7e65093c2e19380a1a4372,shopping payment,2,Tencent
福袋生活,com.fqapps.fdsh,60ae16cd88aa8836216ac830ec7845f2,shopping payment,1,Tencent
好券捕手,com.haoquanbushou,5398c4bea55e5774280e43bdfb19a750,shopping payment,1,Tencent
打字赚钱,com.hdx.dzzq,53b9dc836a9ae041cf148bd1840f763d,sports and fitness,1,Tencent
红人装极速版,com.hrz.quick,5b0f2b370b89dec4a404dde88c312b27,shopping payment,1,Tencent
灰兔赚钱,com.htzq.bf,181d74c490ede140ea460afccca51dee,comprehensive services,2,Tencent
花赚,com.huazhuan.app,d5a38947562d15922366650ed736e0e5,shopping payment,2,Tencent
派派,com.ifreetalk.ftalk,df74bf5f0879173cb7e22ff4359dfd4b,social networking,1,Tencent
