App Name,Package Name,App MD5,Size,Category,App Market
山姆会员商店,cn.samsclub.app,2a4048154c80ab45be63e4632dc3ed65,62.2M,shopping payment,Tencent
唯品会,com.achievo.vipshop,7feff28a8a0122bae39c2ddd389d1a18,102.5M,shopping payment,Tencent
中油优途,com.asput.youtushop,8da6b6c3948a16562b73b5faa3e7ff51,155.0M,shopping payment,Tencent
全球购骑士特权,com.black.unique,f96626074e4ef474ee59b8d9aedea40e,68.8M,shopping payment,Tencent
当当,com.dangdang.buy2,3ccf40e2e4893ef44c87e45bcf8f9a3b,131.4M,shopping payment,Tencent
分期乐,com.fenqile.fenqile,500d0e32c17e29806e8111c9c8f82c77,94.3M,shopping payment,Tencent
海尔智家,com.haier.uhome.uplus,6df3f3e262c3853e463fed1eaf185c6c,186.0M,shopping payment,Tencent
灰兔赚钱,com.htzq.bf,32681ac12d3ca94bd67b5a27677cf283,71.1M,shopping payment,Tencent
识货,com.hupu.shihuo,aa2955c50699dbc94746a72e581372ca,109.0M,shopping payment,Tencent
京东,com.jingdong.app.mall,146cd9938dc76f986ecbac39f45ed7d0,97.2M,shopping payment,Tencent
交易猫,com.jym.mall,48660b4000e07f77f30f93dbf6966274,40.4M,shopping payment,Tencent
微店,com.koudai.weidian.buyer,3df7a636f7caf16b133ad7b968e09d89,102.3M,shopping payment,Tencent
Meituan,com.sankuai.meituan,260cc9b6b2d40beb42f79240081441b4,84.4M,shopping payment,Tencent
得物,com.shizhuang.duapp,d91ffff6b98ff738cdd55f1cc6a0e506,76.4M,shopping payment,Tencent
苏宁易购,com.suning.mobile.ebuy,2d0568e8611bc7fb8dbefd4f6c729c37,146.2M,shopping payment,Tencent
淘特,com.taobao.litetao,dfaee04fe49278ffa67e2d3af3fc4ec1,63.9M,shopping payment,Tencent
点淘,com.taobao.live,9c7d862cd2cb2a6d6c0450c5252696d3,168.7M,shopping payment,Tencent
淘宝,com.taobao.taobao,0387ae127bb8496bf5ee1b73a9432337,118.4M,shopping payment,Tencent
手机天猫,com.tmall.wireless,b42052e0c8f04e916beed51ebd199b86,229.7M,shopping payment,Tencent
